PD1,PD2
2.007324000000000108e+00,-2.146939999999999960e-01
2.003661999999999832e+00,-2.034030000000000005e-01
2.018311000000000188e+00,-2.101169999999999982e-01
1.997559000000000085e+00,-2.162199999999999955e-01
2.014343000000000217e+00,-2.412449999999999872e-01
2.004882999999999971e+00,-2.296479999999999910e-01
1.996032999999999946e+00,-2.183569999999999955e-01
2.005492999999999970e+00,-2.134739999999999971e-01
2.008544999999999803e+00,-2.046229999999999993e-01
2.008544999999999803e+00,-2.064549999999999996e-01
1.992980999999999892e+00,-2.198829999999999951e-01
1.997559000000000085e+00,-2.107269999999999976e-01
1.993590999999999891e+00,-2.061489999999999989e-01
1.988097999999999921e+00,-2.360569999999999891e-01
2.003051999999999833e+00,-2.296479999999999910e-01
1.982604999999999951e+00,-2.366669999999999885e-01
1.992369999999999974e+00,-2.262909999999999922e-01
2.001221000000000139e+00,-2.330049999999999899e-01
2.020446999999999882e+00,-2.183569999999999955e-01
2.012207000000000079e+00,-1.972990000000000022e-01
2.023499000000000159e+00,-2.030980000000000008e-01
2.003356999999999832e+00,-1.908900000000000041e-01
2.013733000000000217e+00,-1.878390000000000060e-01
2.014038000000000217e+00,-1.887540000000000051e-01
2.001831000000000138e+00,-1.835660000000000069e-01
2.015563999999999911e+00,-1.741050000000000098e-01
1.990234000000000059e+00,-1.692230000000000123e-01
2.009765999999999941e+00,-1.588459999999999872e-01
2.035095999999999794e+00,-1.423669999999999936e-01
2.014953999999999912e+00,-1.356529999999999958e-01
2.018006000000000189e+00,-1.240559999999999996e-01
2.021056999999999881e+00,-1.371789999999999954e-01
2.014648999999999912e+00,-1.210040000000000004e-01
2.000916000000000139e+00,-1.255819999999999992e-01
2.028687000000000129e+00,-1.493859999999999910e-01
2.019531999999999883e+00,-1.374839999999999951e-01
2.023194000000000159e+00,-1.429769999999999930e-01
2.019226000000000187e+00,-1.472499999999999920e-01
2.021056999999999881e+00,-1.396199999999999941e-01
2.019836999999999883e+00,-1.576259999999999883e-01
2.030212999999999823e+00,-1.512169999999999903e-01
2.032958999999999961e+00,-1.463339999999999919e-01
2.007629999999999804e+00,-1.448079999999999923e-01
2.027465999999999990e+00,-1.408409999999999940e-01
2.043029999999999902e+00,-1.155110000000000026e-01
2.035705999999999793e+00,-1.249709999999999988e-01
2.031433999999999962e+00,-1.338219999999999965e-01
2.032958999999999961e+00,-1.210040000000000004e-01
2.033570000000000100e+00,-1.347369999999999957e-01
2.025939999999999852e+00,-1.307699999999999974e-01
2.050355000000000150e+00,-1.173420000000000019e-01
2.033570000000000100e+00,-1.026930000000000065e-01
2.025329999999999853e+00,-1.011670000000000069e-01
2.028382000000000129e+00,-9.353799999999999615e-02
2.045472000000000179e+00,-1.145950000000000024e-01
2.018311000000000188e+00,-1.350419999999999954e-01
2.040894000000000208e+00,-1.405359999999999943e-01
2.036315999999999793e+00,-1.405359999999999943e-01
2.023499000000000159e+00,-1.670860000000000123e-01
2.032348999999999961e+00,-1.307699999999999974e-01
2.047607999999999873e+00,-1.484699999999999909e-01
2.040284000000000209e+00,-1.356529999999999958e-01
2.006409000000000109e+00,-1.063550000000000051e-01
2.035400999999999794e+00,-9.628399999999999459e-02
2.040894000000000208e+00,-1.002519999999999939e-01
2.010985999999999940e+00,-8.865499999999999770e-02
2.020446999999999882e+00,-8.438199999999999867e-02
2.041199000000000208e+00,-8.407699999999999896e-02
2.057068999999999814e+00,-9.140199999999999714e-02
2.052795999999999843e+00,-9.750499999999999445e-02
2.054931999999999981e+00,-8.987599999999999756e-02
2.047912999999999872e+00,-7.675300000000000178e-02
2.050965000000000149e+00,-9.170699999999999685e-02
2.037841999999999931e+00,-9.597899999999999487e-02
2.057068999999999814e+00,-8.102499999999999980e-02
2.040894000000000208e+00,-8.377199999999999924e-02
2.060121000000000091e+00,-7.217500000000000304e-02
2.073243000000000169e+00,-9.536899999999999544e-02
2.064087999999999923e+00,-8.133100000000000052e-02
2.046387000000000178e+00,-6.210399999999999948e-02
2.044251000000000040e+00,-6.729200000000000459e-02
2.061036000000000090e+00,-7.736300000000000121e-02
2.070802000000000032e+00,-8.072000000000000008e-02
2.068360000000000198e+00,-7.522700000000000220e-02
2.069580999999999893e+00,-6.973400000000000432e-02
2.062256999999999785e+00,-8.316199999999999981e-02
2.076295000000000002e+00,-8.895999999999999741e-02
2.055238000000000120e+00,-6.515600000000000558e-02
2.069580999999999893e+00,-5.142300000000000343e-02
2.090638999999999914e+00,-7.156500000000000361e-02
2.086060999999999943e+00,-1.020829999999999932e-01
2.089723000000000219e+00,-1.075760000000000050e-01
2.090333000000000219e+00,-9.719999999999999474e-02
2.093996000000000191e+00,-9.506399999999999573e-02
2.093080000000000052e+00,-1.087970000000000048e-01
2.097353000000000023e+00,-1.036090000000000066e-01
2.093080000000000052e+00,-1.029980000000000062e-01
2.098268000000000022e+00,-9.567399999999999516e-02
2.088808000000000220e+00,-7.919400000000000051e-02
2.090028000000000219e+00,-6.942900000000000460e-02
2.112000999999999795e+00,-7.095400000000000318e-02
2.107728999999999964e+00,-6.179899999999999977e-02
2.109560000000000102e+00,-6.118900000000000033e-02
2.100404000000000160e+00,-6.424000000000000543e-02
2.108948999999999963e+00,-8.163600000000000023e-02
2.092775000000000052e+00,-8.407699999999999896e-02
2.104982000000000131e+00,-8.804499999999999826e-02
2.090943999999999914e+00,-8.285599999999999909e-02
2.093690000000000051e+00,-9.292699999999999572e-02
2.094301000000000190e+00,-8.712899999999999812e-02
2.107117999999999824e+00,-9.903099999999999403e-02
2.101929999999999854e+00,-9.780999999999999417e-02
2.117189000000000210e+00,-9.079099999999999671e-02
2.122072000000000180e+00,-9.475899999999999601e-02
2.108033999999999963e+00,-6.790300000000000502e-02
2.119631000000000043e+00,-6.332500000000000628e-02
2.127870999999999846e+00,-5.966300000000000076e-02
2.129701999999999984e+00,-5.508500000000000202e-02
2.112916999999999934e+00,-4.684499999999999775e-02
2.130311999999999983e+00,-3.677400000000000113e-02
2.119631000000000043e+00,-4.776099999999999790e-02
2.124819000000000013e+00,-4.745599999999999818e-02
2.135804999999999954e+00,-3.219700000000000339e-02
2.124207999999999874e+00,-5.813700000000000118e-02
2.125734000000000012e+00,-3.097600000000000006e-02
2.155336999999999836e+00,-5.081299999999999706e-02
2.131533000000000122e+00,-3.982600000000000029e-02
2.153506000000000142e+00,-5.600100000000000217e-02
2.118714999999999904e+00,-7.003900000000000403e-02
2.156862999999999975e+00,-7.309100000000000319e-02
2.126345000000000152e+00,-7.644800000000000206e-02
2.141604000000000063e+00,-5.722100000000000103e-02
2.145875999999999895e+00,-4.440399999999999903e-02
2.131838000000000122e+00,-2.609300000000000161e-02
2.143130000000000202e+00,-2.548299999999999871e-02
2.151675000000000004e+00,-3.189100000000000268e-02
2.132448000000000121e+00,-4.806599999999999762e-02
2.126650000000000151e+00,-4.684499999999999775e-02
2.140992999999999924e+00,-4.165699999999999958e-02
2.140077999999999925e+00,-3.219700000000000339e-02
2.147402000000000033e+00,-4.806599999999999762e-02
2.144960999999999895e+00,-4.898099999999999676e-02
2.129701999999999984e+00,-5.264400000000000329e-02
2.150758999999999865e+00,-6.027300000000000019e-02
2.148928000000000171e+00,-5.905200000000000032e-02
2.150453999999999866e+00,-5.172800000000000314e-02
2.147097000000000033e+00,-6.210399999999999948e-02
2.137026000000000092e+00,-3.555400000000000227e-02
2.129396999999999984e+00,-2.853400000000000034e-02
2.147097000000000033e+00,-6.942900000000000460e-02
2.148928000000000171e+00,-6.912300000000000388e-02
2.138246999999999787e+00,-4.470899999999999874e-02
2.128480999999999845e+00,-5.874700000000000061e-02
2.144960999999999895e+00,-4.989699999999999691e-02
2.129396999999999984e+00,-1.693800000000000167e-02
2.166018000000000221e+00,-3.585900000000000198e-02
2.152285000000000004e+00,-3.921600000000000086e-02
2.168765000000000054e+00,-2.792400000000000090e-02
2.151368999999999865e+00,-2.426199999999999884e-02
2.151675000000000004e+00,-1.724300000000000138e-02
2.151063999999999865e+00,-3.067100000000000035e-02
2.166323000000000221e+00,-2.181999999999999912e-02
