PD1,PD2
-3.786220999999999837e+00,-3.957427000000000028e+00
-3.823148000000000213e+00,-3.952850000000000197e+00
-3.800870000000000193e+00,-3.941558000000000117e+00
-3.821927000000000074e+00,-3.951934000000000058e+00
-3.809719999999999995e+00,-3.898528000000000215e+00
-3.819180999999999937e+00,-3.916227999999999820e+00
-3.809109999999999996e+00,-3.932402999999999871e+00
-3.809719999999999995e+00,-3.933012999999999870e+00
-3.816129000000000104e+00,-3.923246999999999929e+00
-3.805447000000000024e+00,-3.915922999999999821e+00
-3.810941000000000134e+00,-3.934844000000000008e+00
-3.797817999999999916e+00,-3.926604000000000205e+00
-3.815824000000000105e+00,-3.924163000000000068e+00
-3.817044000000000104e+00,-3.936370000000000147e+00
-3.809109999999999996e+00,-3.943998999999999810e+00
-3.810024999999999995e+00,-3.929046000000000038e+00
-3.801175000000000193e+00,-3.917753999999999959e+00
-3.792019999999999946e+00,-3.940031999999999979e+00
-3.823453000000000213e+00,-3.938505999999999840e+00
-3.825895000000000046e+00,-3.926604000000000205e+00
-3.807583999999999858e+00,-3.938810999999999840e+00
-3.827420000000000044e+00,-3.937590999999999841e+00
-3.830471999999999877e+00,-3.925383000000000067e+00
-3.848478000000000065e+00,-3.931487000000000176e+00
-3.803005999999999887e+00,-3.908293000000000017e+00
-3.803005999999999887e+00,-3.915007000000000126e+00
-3.791408999999999807e+00,-3.926604000000000205e+00
-3.817349999999999799e+00,-3.934234000000000009e+00
-3.802395999999999887e+00,-3.939421999999999979e+00
-3.817044000000000104e+00,-3.924163000000000068e+00
-3.788968000000000114e+00,-3.937895999999999841e+00
-3.806363000000000163e+00,-3.933927999999999869e+00
-3.819790999999999936e+00,-3.938810999999999840e+00
-3.794156000000000084e+00,-3.949797999999999920e+00
-3.822538000000000213e+00,-3.928434999999999899e+00
-3.817044000000000104e+00,-3.916532999999999820e+00
-3.765773999999999955e+00,-3.922025999999999790e+00
-3.773709000000000202e+00,-3.924773000000000067e+00
-3.792019999999999946e+00,-3.938810999999999840e+00
-3.784390000000000143e+00,-3.913787000000000127e+00
-3.807278999999999858e+00,-3.924468000000000067e+00
-3.775539999999999896e+00,-3.919585000000000097e+00
-3.823453000000000213e+00,-3.917753999999999959e+00
-3.781642999999999866e+00,-3.906766999999999879e+00
-3.817044000000000104e+00,-3.897002000000000077e+00
-3.810024999999999995e+00,-3.934539000000000009e+00
-3.807888999999999857e+00,-3.930571000000000037e+00
-3.799649000000000054e+00,-3.907683000000000018e+00
-3.791408999999999807e+00,-3.922941999999999929e+00
-3.789883000000000113e+00,-3.922636999999999929e+00
-3.829861999999999878e+00,-3.904021000000000186e+00
-3.813686999999999827e+00,-3.907988000000000017e+00
-3.810941000000000134e+00,-3.902800000000000047e+00
-3.798734000000000055e+00,-3.921720999999999790e+00
-3.807583999999999858e+00,-3.917753999999999959e+00
-3.835659999999999847e+00,-3.902190000000000047e+00
-3.811856000000000133e+00,-3.931182000000000176e+00
-3.792629999999999946e+00,-3.928739999999999899e+00
-3.822538000000000213e+00,-3.914702000000000126e+00
-3.808193999999999857e+00,-3.895475999999999939e+00
-3.788968000000000114e+00,-3.910124000000000155e+00
-3.795986999999999778e+00,-3.897307000000000077e+00
-3.816739000000000104e+00,-3.924773000000000067e+00
-3.772183000000000064e+00,-3.905851999999999880e+00
-3.774014000000000202e+00,-3.907073000000000018e+00
-3.776761000000000035e+00,-3.908293000000000017e+00
-3.784085000000000143e+00,-3.913787000000000127e+00
-3.801785000000000192e+00,-3.942778999999999812e+00
-3.800565000000000193e+00,-3.899138000000000215e+00
-3.809109999999999996e+00,-3.925689000000000206e+00
-3.772793000000000063e+00,-3.908293000000000017e+00
-3.779507000000000172e+00,-3.946136000000000088e+00
-3.782254000000000005e+00,-3.892119000000000106e+00
-3.794766000000000084e+00,-3.910429999999999851e+00
-3.795071000000000083e+00,-3.900053000000000214e+00
-3.792629999999999946e+00,-3.900663999999999909e+00
-3.767910000000000093e+00,-3.919585000000000097e+00
-3.782254000000000005e+00,-3.934234000000000009e+00
-3.797817999999999916e+00,-3.917143999999999959e+00
-3.794766000000000084e+00,-3.906156999999999879e+00
-3.776454999999999895e+00,-3.899443000000000215e+00
-3.816129000000000104e+00,-3.892424000000000106e+00
-3.788663000000000114e+00,-3.910734999999999850e+00
-3.794766000000000084e+00,-3.897307000000000077e+00
-3.779507000000000172e+00,-3.899748000000000214e+00
-3.779812000000000172e+00,-3.902800000000000047e+00
-3.792934999999999945e+00,-3.906766999999999879e+00
-3.799039000000000055e+00,-3.886931000000000136e+00
-3.792629999999999946e+00,-3.906461999999999879e+00
-3.769435999999999787e+00,-3.898833000000000215e+00
-3.776761000000000035e+00,-3.906156999999999879e+00
-3.778592000000000173e+00,-3.903410000000000046e+00
-3.788968000000000114e+00,-3.883268000000000164e+00
-3.801175000000000193e+00,-3.914702000000000126e+00
-3.786830999999999836e+00,-3.907378000000000018e+00
-3.781337999999999866e+00,-3.901273999999999909e+00
-3.769130999999999787e+00,-3.873197999999999919e+00
-3.779812000000000172e+00,-3.897307000000000077e+00
-3.792629999999999946e+00,-3.893339000000000105e+00
-3.797512999999999916e+00,-3.895475999999999939e+00
-3.800870000000000193e+00,-3.862515999999999838e+00
-3.769740999999999786e+00,-3.860380000000000145e+00
-3.774319000000000202e+00,-3.885099999999999998e+00
-3.771878000000000064e+00,-3.885099999999999998e+00
-3.785305999999999838e+00,-3.877165000000000195e+00
-3.774929000000000201e+00,-3.886931000000000136e+00
-3.785915999999999837e+00,-3.885404999999999998e+00
-3.791713999999999807e+00,-3.892119000000000106e+00
-3.797512999999999916e+00,-3.876555000000000195e+00
-3.774319000000000202e+00,-3.881132000000000026e+00
-3.808193999999999857e+00,-3.888151000000000135e+00
-3.781032999999999866e+00,-3.890592999999999968e+00
-3.753261999999999876e+00,-3.905851999999999880e+00
-3.791713999999999807e+00,-3.894254999999999800e+00
-3.767605000000000093e+00,-3.860075000000000145e+00
-3.754788000000000014e+00,-3.899748000000000214e+00
-3.760280999999999985e+00,-3.908293000000000017e+00
-3.757229000000000152e+00,-3.885709999999999997e+00
-3.790493999999999808e+00,-3.889371999999999829e+00
-3.743800999999999934e+00,-3.876555000000000195e+00
-3.758144999999999847e+00,-3.891507999999999967e+00
-3.717861000000000082e+00,-3.895475999999999939e+00
-3.760585999999999984e+00,-3.893644999999999801e+00
-3.745937000000000072e+00,-3.876860000000000195e+00
-3.761807000000000123e+00,-3.882353000000000165e+00
-3.751431000000000182e+00,-3.882353000000000165e+00
-3.774319000000000202e+00,-3.879910999999999888e+00
-3.766383999999999954e+00,-3.909514000000000156e+00
-3.778286000000000033e+00,-3.894864999999999799e+00
-3.785610999999999837e+00,-3.886014999999999997e+00
-3.762722000000000122e+00,-3.886319999999999997e+00
-3.776761000000000035e+00,-3.872891999999999779e+00
-3.772793000000000063e+00,-3.882658000000000165e+00
-3.787136999999999976e+00,-3.906766999999999879e+00
-3.776149999999999896e+00,-3.888761999999999830e+00
-3.754176999999999875e+00,-3.875639000000000056e+00
-3.747463000000000211e+00,-3.895170999999999939e+00
-3.739222999999999963e+00,-3.882963000000000164e+00
-3.765468999999999955e+00,-3.874722999999999917e+00
-3.774624000000000201e+00,-3.902495000000000047e+00
-3.784695000000000142e+00,-3.873807999999999918e+00
-3.839932999999999819e+00,-3.911954999999999849e+00
-3.770961999999999925e+00,-3.871366000000000085e+00
-3.780422999999999867e+00,-3.904021000000000186e+00
-3.757229000000000152e+00,-3.888456999999999830e+00
-3.732203999999999855e+00,-3.900358999999999909e+00
-3.780117000000000171e+00,-3.869229999999999947e+00
-3.734646000000000132e+00,-3.869534999999999947e+00
-3.777371000000000034e+00,-3.891814000000000107e+00
-3.755398000000000014e+00,-3.885709999999999997e+00
-3.727320999999999884e+00,-3.872891999999999779e+00
-3.748988999999999905e+00,-3.893034000000000106e+00
-3.756924000000000152e+00,-3.881132000000000026e+00
-3.755398000000000014e+00,-3.876860000000000195e+00
-3.767605000000000093e+00,-3.900053000000000214e+00
-3.752651000000000181e+00,-3.897917000000000076e+00
-3.760280999999999985e+00,-3.892729000000000106e+00
-3.761500999999999983e+00,-3.878385999999999889e+00
-3.747158000000000211e+00,-3.890897999999999968e+00
-3.775844999999999896e+00,-3.889981999999999829e+00
-3.765163999999999955e+00,-3.913175999999999988e+00
-3.785610999999999837e+00,-3.894864999999999799e+00
-3.743495999999999935e+00,-3.891814000000000107e+00
-3.765163999999999955e+00,-3.890897999999999968e+00
-3.807888999999999857e+00,-3.909514000000000156e+00
-3.757839000000000151e+00,-3.853971000000000036e+00
-3.735256000000000132e+00,-3.922636999999999929e+00
-3.741664999999999797e+00,-3.914702000000000126e+00
-3.746242000000000072e+00,-3.906766999999999879e+00
-3.732203999999999855e+00,-3.881437000000000026e+00
-3.783169000000000004e+00,-3.897002000000000077e+00
-3.780422999999999867e+00,-3.876555000000000195e+00
-3.775539999999999896e+00,-3.868924999999999947e+00
-3.761500999999999983e+00,-3.884793999999999858e+00
-3.751736000000000182e+00,-3.893644999999999801e+00
-3.740444000000000102e+00,-3.864958000000000116e+00
-3.749905000000000044e+00,-3.890897999999999968e+00
-3.737086999999999826e+00,-3.880522000000000027e+00
-3.755093000000000014e+00,-3.895780999999999938e+00
-3.763332999999999817e+00,-3.889676999999999829e+00
-3.776761000000000035e+00,-3.891202999999999967e+00
-3.749905000000000044e+00,-3.865263000000000115e+00
-3.742884999999999796e+00,-3.906156999999999879e+00
-3.756008000000000013e+00,-3.880522000000000027e+00
-3.730373000000000161e+00,-3.872891999999999779e+00
-3.765163999999999955e+00,-3.892729000000000106e+00
-3.759364999999999846e+00,-3.885099999999999998e+00
-3.744717000000000073e+00,-3.888761999999999830e+00
-3.783474000000000004e+00,-3.886624999999999996e+00
-3.766078999999999954e+00,-3.899138000000000215e+00
-3.768520999999999788e+00,-3.877470000000000194e+00
-3.767300000000000093e+00,-3.902800000000000047e+00
-3.770961999999999925e+00,-3.897002000000000077e+00
-3.761195999999999984e+00,-3.936980000000000146e+00
