Extracellular,Intracellular_PD1
-5.950999999999999693e-03,-4.062714999999999854e+00
-2.639800000000000132e-02,-4.066377000000000130e+00
-2.487199999999999828e-02,-4.070344000000000406e+00
-1.235999999999999946e-02,-4.067597000000000129e+00
-2.243099999999999955e-02,-4.056306000000000189e+00
-1.632700000000000123e-02,-4.085907999999999873e+00
-2.670300000000000104e-02,-4.081330999999999598e+00
-1.510599999999999964e-02,-4.081635999999999598e+00
-1.678000000000000021e-03,-4.067292000000000129e+00
4.425000000000000114e-03,-4.113984999999999559e+00
-1.327500000000000034e-02,-4.080415000000000347e+00
-8.697999999999999135e-03,-4.072479999999999656e+00
-1.174900000000000076e-02,-4.071259999999999657e+00
-2.609300000000000161e-02,-4.092622000000000426e+00
-3.128100000000000325e-02,-4.069734000000000407e+00
-3.036499999999999963e-02,-4.095368999999999815e+00
-3.158600000000000296e-02,-4.046845000000000248e+00
2.593999999999999952e-03,-4.093842999999999677e+00
-2.365099999999999841e-02,-4.101167000000000229e+00
-4.120000000000000398e-03,-4.075226999999999933e+00
-3.433300000000000241e-02,-4.083161999999999736e+00
-1.174900000000000076e-02,-4.082550999999999597e+00
-2.761900000000000119e-02,-4.109407000000000032e+00
-3.494300000000000184e-02,-4.063629999999999853e+00
-1.724300000000000138e-02,-4.099947000000000230e+00
-1.113899999999999960e-02,-4.073395999999999795e+00
-3.585900000000000198e-02,-4.063019999999999854e+00
-3.524800000000000155e-02,-4.074005999999999794e+00
-2.853400000000000034e-02,-4.070039000000000406e+00
-3.433300000000000241e-02,-4.098116000000000092e+00
3.203999999999999817e-03,-4.063324999999999854e+00
-7.781999999999999855e-03,-4.040435999999999694e+00
-1.510599999999999964e-02,-4.108185999999999893e+00
-1.067999999999999939e-03,-4.062408999999999715e+00
-2.548299999999999871e-02,-4.075836999999999932e+00
-2.548299999999999871e-02,-4.103608999999999618e+00
-2.517700000000000146e-02,-4.055085000000000051e+00
-5.752700000000000174e-02,-4.077668000000000070e+00
-4.837099999999999733e-02,-4.093842999999999677e+00
-6.973400000000000432e-02,-4.096894999999999953e+00
-1.100180000000000047e-01,-4.066987000000000130e+00
-1.234449999999999992e-01,-4.069429000000000407e+00
-1.182570000000000010e-01,-4.076143000000000072e+00
-1.057450000000000057e-01,-4.071259999999999657e+00
-8.804499999999999826e-02,-4.063934999999999853e+00
-7.522700000000000220e-02,-4.061493999999999716e+00
-4.074200000000000044e-02,-4.087739000000000011e+00
-3.250200000000000311e-02,-4.085602999999999874e+00
-1.052900000000000016e-02,-4.074616999999999933e+00
2.670300000000000104e-02,-4.048676000000000386e+00
5.691600000000000131e-02,-4.093537999999999677e+00
1.167320000000000024e-01,-4.062714999999999854e+00
1.576259999999999883e-01,-4.058442000000000327e+00
1.667810000000000126e-01,-4.066682000000000130e+00
1.338219999999999965e-01,-4.089265000000000150e+00
1.362629999999999952e-01,-4.085602999999999874e+00
1.399249999999999938e-01,-4.090181000000000289e+00
9.780999999999999417e-02,-4.062103999999999715e+00
6.088299999999999962e-02,-4.068513000000000268e+00
4.592999999999999861e-02,-4.089570000000000149e+00
2.914500000000000077e-02,-4.087129000000000012e+00
-9.613000000000000017e-03,-4.077668000000000070e+00
-1.083399999999999988e-02,-4.095368999999999815e+00
-1.724300000000000138e-02,-4.084076999999999735e+00
-3.402800000000000269e-02,-4.061188999999999716e+00
-5.447500000000000259e-02,-4.062408999999999715e+00
-5.905200000000000032e-02,-4.063324999999999854e+00
-7.156500000000000361e-02,-4.041046999999999834e+00
-8.102499999999999980e-02,-4.065460999999999991e+00
-7.370100000000000262e-02,-4.059967999999999577e+00
-7.217500000000000304e-02,-4.084381999999999735e+00
-7.919400000000000051e-02,-4.070039000000000406e+00
-8.102499999999999980e-02,-4.088655000000000150e+00
-8.438199999999999867e-02,-4.061188999999999716e+00
-7.766800000000000093e-02,-4.086519000000000013e+00
-8.041500000000000037e-02,-4.079500000000000348e+00
-5.874700000000000061e-02,-4.059967999999999577e+00
-3.341700000000000226e-02,-4.065155999999999992e+00
-3.738500000000000156e-02,-4.039215999999999696e+00
-5.142300000000000343e-02,-4.063324999999999854e+00
-4.989699999999999691e-02,-4.049591999999999636e+00
-5.935800000000000104e-02,-4.049896999999999636e+00
-3.280700000000000283e-02,-4.046540000000000248e+00
-3.189100000000000268e-02,-4.089570000000000149e+00
-3.311200000000000254e-02,-4.056916000000000189e+00
-3.707900000000000085e-02,-4.095063999999999815e+00
-2.639800000000000132e-02,-4.074921999999999933e+00
-3.280700000000000283e-02,-4.066377000000000130e+00
-2.548299999999999871e-02,-4.069734000000000407e+00
2.288999999999999802e-03,-4.038910999999999696e+00
1.052900000000000016e-02,-4.042266999999999832e+00
8.697999999999999135e-03,-4.045319000000000109e+00
-3.036499999999999963e-02,-4.042266999999999832e+00
-2.273599999999999927e-02,-4.042877999999999972e+00
2.593999999999999952e-03,-4.038299999999999557e+00
6.256000000000000276e-03,-4.040435999999999694e+00
-1.083399999999999988e-02,-4.053558999999999912e+00
-8.392000000000000154e-03,-4.058747000000000327e+00
7.630000000000000063e-04,-4.070954000000000406e+00
1.327500000000000034e-02,-4.040435999999999694e+00
1.785300000000000081e-02,-4.041961999999999833e+00
-1.327500000000000034e-02,-4.066682000000000130e+00
-2.456699999999999856e-02,-4.069429000000000407e+00
-2.365099999999999841e-02,-4.071259999999999657e+00
-3.158600000000000296e-02,-4.052337999999999774e+00
-4.684499999999999775e-02,-4.023346000000000089e+00
-5.691600000000000131e-02,-4.038299999999999557e+00
-7.309100000000000319e-02,-4.013581000000000287e+00
-8.102499999999999980e-02,-4.039215999999999696e+00
-1.023880000000000068e-01,-4.041046999999999834e+00
-1.225300000000000000e-01,-4.028839999999999755e+00
-1.393149999999999944e-01,-4.052643999999999913e+00
-1.176470000000000016e-01,-4.035248000000000168e+00
-1.109330000000000038e-01,-4.007476999999999734e+00
-9.292699999999999572e-02,-4.021514999999999951e+00
-5.874700000000000061e-02,-4.036774000000000306e+00
-2.426199999999999884e-02,-4.038910999999999696e+00
-3.921600000000000086e-02,-4.043182999999999971e+00
-2.288999999999999802e-03,-4.019378999999999813e+00
-1.235999999999999946e-02,-4.008391999999999733e+00
1.144399999999999931e-02,-4.014496000000000286e+00
5.478000000000000230e-02,-4.049591999999999636e+00
7.492200000000000248e-02,-4.014496000000000286e+00
7.736300000000000121e-02,-4.048676000000000386e+00
7.461700000000000277e-02,-4.051422999999999774e+00
9.170699999999999685e-02,-4.012055000000000149e+00
9.292699999999999572e-02,-4.049286999999999637e+00
9.872599999999999432e-02,-4.044709000000000110e+00
6.973400000000000432e-02,-4.032807000000000031e+00
4.745599999999999818e-02,-4.048981000000000385e+00
4.013100000000000001e-02,-4.044404000000000110e+00
4.623499999999999832e-02,-4.030670999999999893e+00
5.996800000000000047e-02,-4.008697999999999873e+00
4.867599999999999705e-02,-4.017242999999999675e+00
2.548299999999999871e-02,-4.044404000000000110e+00
5.035000000000000413e-03,-4.048981000000000385e+00
1.678000000000000021e-03,-4.025483000000000366e+00
2.060000000000000026e-02,-4.019073999999999813e+00
-1.327500000000000034e-02,-3.984283000000000019e+00
-3.250200000000000311e-02,-4.037994999999999557e+00
-4.104700000000000015e-02,-4.027008000000000365e+00
-2.426199999999999884e-02,-3.999541999999999931e+00
-4.623499999999999832e-02,-4.012665000000000148e+00
-4.379299999999999859e-02,-4.041656999999999833e+00
-3.280700000000000283e-02,-4.031585999999999892e+00
-3.005999999999999991e-02,-4.040435999999999694e+00
-3.097600000000000006e-02,-4.015717000000000425e+00
-4.104700000000000015e-02,-4.048371000000000386e+00
-5.844200000000000089e-02,-4.013275000000000148e+00
-5.386400000000000216e-02,-4.046540000000000248e+00
-3.707900000000000085e-02,-4.012970000000000148e+00
-2.792400000000000090e-02,-4.032197000000000031e+00
-2.243099999999999955e-02,-4.025177000000000227e+00
-5.539000000000000173e-02,-4.028533999999999615e+00
-4.135199999999999987e-02,-4.037994999999999557e+00
-2.273599999999999927e-02,-4.001678000000000068e+00
-3.433300000000000241e-02,-4.027008000000000365e+00
-3.707900000000000085e-02,-4.032502000000000031e+00
-3.158600000000000296e-02,-4.069429000000000407e+00
-3.982600000000000029e-02,-4.026398000000000366e+00
-7.477000000000000139e-03,-4.029449999999999754e+00
-7.172000000000000423e-03,-4.038299999999999557e+00
-2.914500000000000077e-02,-4.007171999999999734e+00
-3.280700000000000283e-02,-4.018157999999999674e+00
-5.294900000000000301e-02,-4.046845000000000248e+00
-5.294900000000000301e-02,-4.009917999999999871e+00
-3.860500000000000043e-02,-4.073395999999999795e+00
-2.822900000000000062e-02,-4.031280999999999892e+00
-2.487199999999999828e-02,-4.022126000000000090e+00
-2.761900000000000119e-02,-4.006255999999999595e+00
-2.761900000000000119e-02,-3.995575000000000099e+00
-1.480099999999999992e-02,-4.013275000000000148e+00
-4.580000000000000195e-04,-4.025483000000000366e+00
-6.560999999999999992e-03,-4.052643999999999913e+00
-1.984000000000000086e-03,-4.033112000000000030e+00
-1.480099999999999992e-02,-4.010224000000000011e+00
-1.205499999999999974e-02,-4.022736000000000089e+00
-3.616400000000000170e-02,-4.044709000000000110e+00
-4.348799999999999888e-02,-4.033417000000000030e+00
-8.087000000000000438e-03,-4.031280999999999892e+00
2.670300000000000104e-02,-4.040130999999999695e+00
-2.548299999999999871e-02,-4.003204000000000207e+00
8.087000000000000438e-03,-4.003815000000000346e+00
1.571699999999999833e-02,-4.001984000000000208e+00
-1.067999999999999939e-03,-4.030670999999999893e+00
-1.846300000000000024e-02,-4.016327000000000425e+00
-7.477000000000000139e-03,-4.038299999999999557e+00
-2.334599999999999870e-02,-4.029449999999999754e+00
-1.358099999999999932e-02,-4.000458000000000069e+00
-1.327500000000000034e-02,-4.026093000000000366e+00
-2.273599999999999927e-02,-4.025483000000000366e+00
-3.341700000000000226e-02,-4.009612999999999872e+00
3.203999999999999817e-03,-4.016937999999999676e+00
-2.853400000000000034e-02,-4.019683999999999813e+00
-1.174900000000000076e-02,-4.036774000000000306e+00
-2.899000000000000101e-03,-4.045014000000000109e+00
-1.174900000000000076e-02,-4.039825999999999695e+00
-9.917999999999999733e-03,-4.024262000000000228e+00
2.899000000000000101e-03,-4.038910999999999696e+00
-2.548299999999999871e-02,-4.033112000000000030e+00
-2.884000000000000105e-02,-4.036469000000000307e+00
-1.174900000000000076e-02,-4.025177000000000227e+00
-3.952100000000000057e-02,-4.065765999999999991e+00
-1.663200000000000095e-02,-4.033112000000000030e+00
5.950999999999999693e-03,-4.016937999999999676e+00
-1.113899999999999960e-02,-4.012360000000000149e+00
-1.144399999999999931e-02,-4.038604999999999556e+00
-2.761900000000000119e-02,-4.025788000000000366e+00
-2.884000000000000105e-02,-4.059967999999999577e+00
-1.205499999999999974e-02,-4.030059999999999754e+00
-1.067999999999999939e-03,-4.035859000000000307e+00
